"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1967,2,0.007514,0.00242,0,0.00751400000000002,0.00242000000000009,0.00293255131964814,0.004568052631579,-0.000511052631578801,0,0.00751400000000002,0.00242000000000009,-0.00242816673411572,0.00996636673427997,0.00485996754563911
1967,3,0.041137,0.039544,0.00303951367781159,0.0379820393939392,0.0363938666666666,0.00292397660818697,0.0381016151603499,0.0365132594752189,-0.00299401197604795,0.0442635375375375,0.0426657537537538,0.0056795131845842,0.0352572428398548,0.0336732392093586
1967,4,0.043371,0.042544,0.00303030303030307,0.0402188217522659,0.0393943202416915,0.00291545189504377,0.0403379447674419,0.039513348837209,-0.00600600600600588,0.0496753564954682,0.048843359516616,0.0110931827349738,0.0319236820267306,0.0311057554358667
1967,5,-0.04681,-0.052314,0.00302114803625382,-0.0496810542168675,-0.0551684759036145,0.00290697674418609,-0.0495728695652174,-0.055060915942029,0.00604229607250742,-0.0525348648648648,-0.0580058078078077,0.0017953321364452,-0.0485182258064516,-0.0540123620071684
1967,6,0.019319,0.018015,0.00301204819277091,0.0162579819819824,0.0149578978978979,0.00289855072463772,0.0163729913294799,0.0150727601156069,0.00600600600600609,0.0132335134328359,0.0119372985074624,0.00915969733174039,0.010067091160221,0.00877492699289628
1967,7,0.046454,0.045623,0.00300300300300305,0.0433209041916167,0.0424923922155689,0.00289017341040467,0.0434382824207491,0.0426096772334292,0,0.046454,0.045623,-0.000197316495659082,0.0466605233866193,0.0458293593842511
1967,8,-0.006824,-0.012197,0.00299401197604795,-0.00978870447761193,-0.0151456656716418,0.00288184438040329,-0.00967795402298843,-0.0150355143678159,-0.00298507462686571,-0.00385041916167672,-0.00923950598802392,0.00611801855141114,-0.0128633205178502,-0.0182036482934484
1967,9,0.033815,0.032597,0.00298507462686571,0.030738169642857,0.029523794642857,0.00574712643678169,0.0279074857142856,0.0266964457142858,0,0.0338149999999999,0.032597,0.0113770105923892,0.0221855837858804,0.0209812851047324
1967,10,-0.027448,-0.028701,0.00297619047619052,-0.0303339109792286,-0.0315831928783382,0.0057142857142858,-0.0329738636363637,-0.0342197443181819,0,-0.027448,-0.028701,-0.00659425911559344,-0.0209921686841079,-0.0222534861382273
1967,11,0.006435,0.000533,0.00296735905044493,0.00345738165680487,-0.0024271568047336,0.00284090909090893,0.00358390934844199,-0.00230137110481587,0,0.00643499999999997,0.000532999999999895,0.0101522842639593,-0.00367992462311539,-0.00952260804020089
